,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-03,39.80,57.20,1022.10,14.00,4.33,51.79,0.51,13.40
1981-01-04,36.40,56.80,1022.30,13.78,2.44,45.97,0.44,13.09
1981-01-05,13.00,42.10,1029.10,5.61,-10.56,30.19,0.17,4.31
1981-01-06,27.60,43.40,1024.40,6.33,-2.44,53.30,0.31,5.37
1981-01-07,45.30,53.30,1015.90,11.83,7.39,73.97,0.63,11.42
1981-01-08,29.20,41.10,1020.00,5.06,-1.56,62.22,0.33,4.15
1981-01-09,26.40,42.90,1021.50,6.06,-3.11,51.72,0.30,5.06
1981-01-10,23.00,47.20,1027.60,8.44,-5.00,38.08,0.26,7.39
1981-01-11,11.50,42.70,1027.50,5.94,-11.39,27.62,0.16,4.63
1981-01-12,4.10,33.10,1030.20,0.61,-15.50,28.98,0.11,0.61
1981-01-13,14.30,33.20,1026.60,0.67,-9.83,45.40,0.18,0.67
1981-01-14,36.10,45.70,1019.10,7.61,2.28,68.80,0.44,6.92
1981-01-15,42.30,50.80,1017.90,10.44,5.72,72.34,0.56,9.94
1981-01-16,35.40,48.60,1021.70,9.22,1.89,59.93,0.43,8.49
1981-01-17,14.80,42.80,1030.20,6.00,-9.56,31.78,0.18,4.74
1981-01-18,9.60,47.10,1030.70,8.39,-12.44,21.45,0.14,7.12
1981-01-19,22.40,49.70,1021.70,9.83,-5.33,33.78,0.25,8.79
1981-01-20,41.10,51.30,1013.10,10.72,5.06,67.77,0.54,10.17
1981-01-21,36.60,46.60,1016.60,8.11,2.56,67.81,0.45,7.43
1981-01-22,35.80,46.50,1022.80,8.06,2.11,65.94,0.43,7.35
1981-01-23,36.50,45.80,1019.80,7.67,2.50,69.63,0.45,6.99
1981-01-24,37.90,51.30,1015.90,10.72,3.28,59.78,0.47,10.07
1981-01-25,41.20,54.90,1017.70,12.72,5.11,59.52,0.54,12.16
1981-01-26,48.40,55.10,1016.40,12.83,9.11,77.88,0.71,12.52
1981-01-27,54.30,57.50,1013.00,14.17,12.39,88.91,0.89,14.06
1981-01-28,49.00,60.00,1014.40,15.56,9.44,66.62,0.73,15.23
1981-01-29,38.00,49.70,1023.10,9.83,3.33,63.73,0.47,9.18
1981-01-30,52.90,58.70,1022.50,14.83,11.61,80.81,0.83,14.66
1981-01-31,39.80,49.20,1023.40,9.56,4.33,69.70,0.51,8.97
1981-02-01,59.50,63.90,1013.70,17.72,15.28,85.38,1.07,17.75
1981-02-02,24.90,45.80,1022.80,7.67,-3.94,43.48,0.28,6.65
1981-02-03,13.50,37.50,1031.00,3.06,-10.28,36.94,0.17,3.06
1981-02-04,26.90,40.40,1030.20,4.67,-2.83,58.18,0.30,3.69
1981-02-05,26.50,43.90,1028.40,6.61,-3.06,49.97,0.30,5.62
1981-02-06,39.40,46.70,1023.40,8.17,4.11,75.43,0.50,7.59
1981-02-07,50.80,54.00,1016.90,12.22,10.44,88.77,0.78,12.02
1981-02-08,46.60,60.80,1013.80,16.00,8.11,59.09,0.66,15.60
1981-02-09,33.60,51.40,1020.50,10.78,0.89,50.20,0.40,10.00
1981-02-10,54.50,60.90,1011.80,16.06,12.50,79.18,0.90,15.92
1981-02-11,43.20,53.10,1017.80,11.72,6.22,68.74,0.58,11.23
1981-02-12,10.60,33.60,1037.10,0.89,-11.89,37.99,0.15,0.89
1981-02-13,23.00,38.60,1037.60,3.67,-5.00,53.09,0.25,3.67
1981-02-14,39.10,51.10,1033.70,10.61,3.94,63.14,0.49,9.99
1981-02-15,50.20,59.90,1027.30,15.50,10.11,69.95,0.75,15.22
1981-02-16,57.00,61.50,1023.30,16.39,13.89,84.95,0.97,16.34
1981-02-17,59.60,60.50,1020.60,15.83,15.33,96.80,1.07,15.92
1981-02-18,58.50,60.10,1019.20,15.61,14.72,94.37,1.03,15.65
1981-02-19,53.70,57.20,1018.60,14.00,12.06,87.92,0.86,13.88
1981-02-20,53.90,61.70,1015.30,16.50,12.17,75.25,0.87,16.34
1981-02-21,49.30,58.70,1015.40,14.83,9.61,70.63,0.73,14.52
1981-02-22,58.00,60.80,1012.80,16.00,14.44,90.35,1.02,16.01
1981-02-23,42.40,57.60,1015.20,14.22,5.78,56.48,0.56,13.70
1981-02-24,41.10,57.30,1016.90,14.06,5.06,54.29,0.54,13.49
1981-02-25,44.50,55.80,1020.00,13.22,6.94,65.41,0.61,12.76
1981-02-26,51.80,60.50,1020.10,15.83,11.00,72.67,0.80,15.60
1981-02-27,49.40,61.60,1020.90,16.44,9.67,63.84,0.73,16.13
1981-02-28,60.40,64.50,1020.20,18.06,15.78,86.35,1.10,18.11
1981-03-01,62.50,66.00,1014.70,18.89,16.94,88.30,1.19,19.01
1981-03-02,50.10,63.50,1013.50,17.50,10.06,61.23,0.76,17.20
1981-03-03,38.50,53.70,1017.10,12.06,3.61,55.98,0.48,11.42
1981-03-04,54.00,61.30,1010.30,16.28,12.22,76.62,0.88,16.12
1981-03-05,59.90,63.80,1003.60,17.67,15.50,86.94,1.10,17.71
1981-03-06,42.40,55.40,1012.80,13.00,5.78,61.22,0.57,12.48
1981-03-07,32.90,55.30,1018.10,12.94,0.50,42.23,0.39,12.17
1981-03-08,34.40,57.00,1022.50,13.89,1.33,42.14,0.41,13.16
1981-03-09,34.70,56.20,1025.70,13.44,1.50,43.91,0.41,12.72
1981-03-10,36.20,51.80,1025.60,11.00,2.33,54.86,0.44,10.29
1981-03-11,39.80,56.90,1023.70,13.83,4.33,52.36,0.51,13.24
1981-03-12,36.40,54.20,1022.30,12.33,2.44,50.58,0.44,11.64
1981-03-13,42.20,54.80,1017.50,12.67,5.67,62.10,0.56,12.14
1981-03-14,47.50,61.20,1018.80,16.22,8.61,60.28,0.68,15.85
1981-03-15,50.90,62.60,1015.90,17.00,10.50,65.16,0.78,16.73
1981-03-16,38.10,63.30,1011.90,17.39,3.39,38.87,0.48,16.79
1981-03-17,33.80,52.70,1015.50,11.50,1.00,48.21,0.40,10.73
1981-03-18,56.80,63.50,1003.00,17.50,13.78,78.50,0.98,17.43
