,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-01,45.60,54.10,9999.90,12.28,7.56,72.64,0.06,11.87
1981-01-02,40.50,46.10,9999.90,7.83,4.72,80.57,0.05,7.30
1981-01-03,37.40,46.90,9999.90,8.28,3.00,69.19,0.05,7.62
1981-01-04,36.10,46.70,9999.90,8.17,2.28,66.22,0.04,7.47
1981-01-05,35.90,47.60,9999.90,8.67,2.17,63.49,0.04,7.96
1981-01-06,37.90,49.50,9999.90,9.72,3.28,63.96,0.05,9.07
1981-01-07,34.80,49.50,9999.90,9.72,1.56,56.56,0.04,8.97
1981-01-08,30.50,53.90,9999.90,12.17,-0.83,40.36,0.04,11.33
1981-01-09,47.40,51.50,9999.90,10.83,8.56,85.69,0.07,10.52
1981-01-10,42.50,49.50,9999.90,9.72,5.83,76.55,0.06,9.24
1981-01-11,32.80,43.80,9999.90,6.56,0.44,64.85,0.04,5.76
1981-01-12,39.50,49.50,9999.90,9.72,4.17,68.11,0.05,9.13
1981-01-13,38.90,46.10,9999.90,7.83,3.83,75.68,0.05,7.24
1981-01-14,31.70,49.00,9999.90,9.44,-0.17,50.88,0.04,8.61
1981-01-15,40.50,58.70,9999.90,14.83,4.72,50.40,0.05,14.26
1981-01-16,31.70,46.90,9999.90,8.28,-0.17,55.10,0.04,7.44
1981-01-17,26.90,47.40,9999.90,8.56,-2.83,44.44,0.03,7.59
1981-01-18,41.00,52.80,9999.90,11.56,5.00,63.83,0.05,10.99
1981-01-19,45.10,55.70,9999.90,13.17,7.28,67.18,0.06,12.73
1981-01-20,35.90,51.80,9999.90,11.00,2.17,54.21,0.04,10.29
1981-01-21,43.60,49.00,9999.90,9.44,6.44,81.39,0.06,9.01
1981-01-22,32.80,46.70,9999.90,8.17,0.44,58.04,0.04,7.36
1981-01-23,37.90,54.10,9999.90,12.28,3.28,53.87,0.05,11.62
1981-01-24,50.30,64.40,9999.90,18.00,10.17,59.75,0.08,17.71
1981-01-25,43.10,53.60,9999.90,12.00,6.17,67.22,0.06,11.51
1981-01-26,37.90,50.50,9999.90,10.28,3.28,61.60,0.05,9.62
1981-01-27,28.90,46.10,9999.90,7.83,-1.72,50.69,0.03,6.91
1981-01-28,35.30,49.00,9999.90,9.44,1.83,58.79,0.04,8.71
1981-01-29,43.10,48.70,9999.90,9.28,6.17,80.75,0.06,8.82
