,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-01,29.50,42.10,1014.40,5.61,-1.39,60.59,0.00,4.71
1981-01-02,19.40,37.90,1015.30,3.28,-7.00,46.88,0.00,3.28
1981-01-03,16.30,36.90,1020.60,2.72,-8.72,42.71,0.00,2.72
1981-01-04,19.00,37.60,1023.40,3.11,-7.22,46.64,0.00,3.11
1981-01-05,18.70,37.60,1022.70,3.11,-7.39,46.04,0.00,3.11
1981-01-06,21.20,39.20,1022.40,4.00,-6.00,48.07,0.00,4.00
1981-01-07,26.40,40.60,1024.20,4.78,-3.11,56.55,0.00,3.78
1981-01-08,30.90,43.90,1022.00,6.61,-0.61,59.83,0.00,5.75
1981-01-09,30.20,45.70,1016.20,7.61,-1.00,54.27,0.00,6.73
1981-01-10,21.40,38.10,1013.00,3.39,-5.89,50.62,0.00,3.39
1981-01-11,21.40,38.30,1017.20,3.50,-5.89,50.23,0.00,3.50
1981-01-12,21.20,40.80,1018.50,4.89,-6.00,45.16,0.00,3.75
1981-01-13,16.70,38.10,1020.90,3.39,-8.50,41.44,0.00,3.39
1981-01-14,23.90,38.10,1022.20,3.39,-4.50,56.22,0.00,3.39
1981-01-15,32.90,39.90,1016.20,4.39,0.50,75.75,0.00,4.39
1981-01-16,32.00,34.70,1023.20,1.50,0.00,89.72,0.00,1.50
1981-01-17,29.10,39.40,1024.20,4.11,-1.61,66.22,0.00,4.11
1981-01-18,33.10,40.30,1021.80,4.61,0.61,75.18,0.00,3.85
1981-01-19,30.90,41.40,1021.40,5.22,-0.61,65.90,0.00,4.37
1981-01-20,23.90,39.90,1022.60,4.39,-4.50,52.39,0.00,4.39
1981-01-21,18.50,40.10,1023.00,4.50,-7.50,41.38,0.00,3.29
1981-01-22,21.00,36.10,1028.60,2.28,-6.11,53.87,0.00,2.28
1981-01-23,29.80,41.00,1025.80,5.00,-1.22,64.01,0.00,4.11
1981-01-24,42.80,47.50,1018.70,8.61,6.00,83.52,0.01,8.16
1981-01-25,24.30,42.30,1025.30,5.72,-4.28,48.52,0.00,4.67
1981-01-26,23.00,38.30,1026.30,3.50,-5.00,53.72,0.00,3.50
1981-01-27,23.50,38.90,1027.50,3.83,-4.72,53.58,0.00,3.83
1981-01-28,25.00,41.20,1023.90,5.11,-3.89,52.13,0.00,4.08
1981-01-29,25.20,39.20,1024.20,4.00,-3.78,56.84,0.00,4.00
1981-01-30,28.40,41.20,1025.10,5.11,-2.00,59.98,0.00,4.18
1981-01-31,35.20,41.90,1020.60,5.50,1.78,76.84,0.00,4.81
1981-02-01,27.50,44.60,1018.60,7.00,-2.50,50.69,0.00,6.04
1981-02-02,26.10,42.60,1019.80,5.89,-3.28,51.68,0.00,4.89
1981-02-03,18.50,40.50,1018.90,4.72,-7.50,40.74,0.00,3.52
1981-02-04,22.80,39.40,1026.20,4.11,-5.11,51.02,0.00,4.11
1981-02-05,30.20,41.80,1027.00,5.44,-1.00,63.07,0.00,4.57
1981-02-06,29.50,43.70,1020.30,6.50,-1.39,56.95,0.00,5.60
1981-02-07,27.70,43.70,1017.70,6.50,-2.39,52.91,0.00,5.54
1981-02-08,29.30,41.90,1016.60,5.50,-1.50,60.56,0.00,4.59
1981-02-09,32.70,45.70,1015.00,7.61,0.39,60.05,0.00,6.80
1981-02-10,22.80,44.40,1016.60,6.89,-5.11,42.02,0.00,5.81
1981-02-11,25.50,42.80,1018.60,6.00,-3.61,50.02,0.00,4.98
1981-02-12,36.50,43.70,1013.90,6.50,2.50,75.47,0.00,5.84
1981-02-13,46.40,47.50,1012.30,8.61,8.00,95.90,0.01,8.32
1981-02-14,41.70,48.70,1017.50,9.28,5.39,76.48,0.01,8.77
1981-02-15,43.50,48.70,1018.70,9.28,6.39,82.00,0.01,8.84
1981-02-16,42.80,49.10,1013.90,9.50,6.00,78.62,0.01,9.03
1981-02-17,28.20,40.50,1021.00,4.72,-2.11,61.14,0.00,3.78
1981-02-18,36.50,46.60,1020.00,8.11,2.50,67.54,0.00,7.43
1981-02-19,28.70,45.10,1020.20,7.28,-1.83,52.24,0.00,6.35
1981-02-20,30.90,43.90,1017.40,6.61,-0.61,59.83,0.00,5.75
1981-02-21,27.00,41.20,1020.80,5.11,-2.78,56.63,0.00,4.13
1981-02-22,35.20,43.90,1018.10,6.61,1.78,71.12,0.00,5.90
1981-02-23,40.80,47.50,1012.80,8.61,4.89,77.29,0.01,8.08
1981-02-24,27.60,42.30,1016.40,5.72,-2.44,55.62,0.00,4.76
1981-02-25,14.00,30.90,1019.50,-0.61,-10.00,49.17,0.00,-0.61
1981-02-26,10.70,26.90,1025.00,-2.83,-11.83,50.11,0.00,-2.83
1981-02-27,18.90,30.00,1030.00,-1.11,-7.28,62.98,0.00,-1.11
1981-02-28,25.50,38.80,1028.40,3.78,-3.61,58.46,0.00,3.78
1981-03-01,32.90,34.90,1026.30,1.61,0.50,92.30,0.00,1.61
1981-03-02,30.40,42.10,1026.70,5.61,-0.89,62.85,0.00,4.74
1981-03-03,38.30,41.90,1020.00,5.50,3.50,86.88,0.00,4.94
1981-03-04,31.10,48.70,1017.90,9.28,-0.50,50.23,0.00,8.43
1981-03-05,22.10,44.60,1024.50,7.00,-5.50,40.49,0.00,5.91
1981-03-06,27.30,42.60,1025.00,5.89,-2.61,54.30,0.00,4.92
1981-03-07,27.90,49.30,1023.20,9.61,-2.28,43.09,0.00,8.68
1981-03-08,40.30,50.70,1018.50,10.39,4.61,67.18,0.01,9.81
1981-03-09,34.20,46.40,1017.50,8.00,1.22,62.10,0.00,7.24
1981-03-10,27.10,41.50,1028.70,5.28,-2.72,56.20,0.00,4.30
1981-03-11,30.40,44.80,1028.90,7.11,-0.89,56.63,0.00,6.23
1981-03-12,43.90,49.30,1023.90,9.61,6.61,81.41,0.01,9.18
1981-03-13,50.00,54.50,1016.80,12.50,10.00,84.57,0.01,12.26
1981-03-14,45.50,51.60,1011.30,10.89,7.50,79.41,0.01,10.50
1981-03-15,33.40,47.30,1014.10,8.50,0.78,58.11,0.00,7.71
1981-03-16,32.40,47.50,1015.40,8.61,0.22,55.40,0.00,7.79
1981-03-17,40.80,50.90,1016.30,10.50,4.89,67.99,0.01,9.94
