,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-01,36.30,46.70,1014.20,8.17,2.39,66.75,0.44,7.47
1981-01-02,30.40,44.20,1019.50,6.78,-0.89,57.95,0.35,5.90
1981-01-03,25.90,40.20,1021.50,4.56,-3.39,56.27,0.29,3.55
1981-01-04,28.40,46.40,1017.40,8.00,-2.00,49.10,0.32,7.07
1981-01-05,1.00,27.70,1029.90,-2.39,-17.22,31.32,0.10,-2.39
1981-01-06,21.40,33.50,1026.30,0.83,-5.89,60.78,0.24,0.83
1981-01-07,42.80,48.50,1012.70,9.17,6.00,80.42,0.57,8.70
1981-01-08,26.30,37.60,1018.00,3.11,-3.17,63.35,0.30,3.11
1981-01-09,20.70,39.20,1021.00,4.00,-6.28,47.07,0.23,4.00
1981-01-10,19.80,32.80,1023.00,0.44,-6.78,58.43,0.22,0.44
1981-01-11,10.70,30.60,1026.10,-0.78,-11.83,43.07,0.15,-0.78
1981-01-12,5.20,27.50,1025.00,-2.50,-14.89,38.24,0.12,-2.50
1981-01-13,8.00,25.80,1023.70,-3.44,-13.33,46.52,0.13,-3.44
1981-01-14,19.70,40.50,1018.80,4.72,-6.83,42.88,0.22,3.55
1981-01-15,39.20,53.00,1016.60,11.67,4.00,59.05,0.50,11.05
1981-01-16,28.30,43.20,1019.20,6.22,-2.06,55.28,0.32,5.28
1981-01-17,14.30,37.70,1022.80,3.17,-9.83,37.95,0.18,3.17
1981-01-18,8.10,34.80,1024.00,1.56,-13.28,32.41,0.13,1.56
1981-01-19,15.30,43.40,1019.30,6.33,-9.28,31.73,0.19,5.09
1981-01-20,30.90,44.40,1017.10,6.89,-0.61,58.69,0.36,6.03
1981-01-21,43.50,49.10,1012.40,9.50,6.39,80.77,0.59,9.06
1981-01-22,36.00,42.50,1017.80,5.83,2.22,77.50,0.44,5.16
1981-01-23,33.10,47.40,1013.60,8.56,0.61,57.20,0.39,7.76
1981-01-24,30.20,46.60,1012.60,8.11,-1.00,52.44,0.35,7.23
1981-01-25,28.70,42.00,1017.70,5.56,-1.83,58.87,0.33,4.63
1981-01-26,31.50,43.80,1016.70,6.56,-0.28,61.54,0.37,5.71
1981-01-27,39.60,53.00,1012.00,11.67,4.22,59.99,0.51,11.06
1981-01-28,48.50,54.70,1011.20,12.61,9.17,79.33,0.72,12.31
1981-01-29,31.90,46.60,1021.30,8.11,-0.06,56.18,0.37,7.28
1981-01-30,31.30,45.90,1023.30,7.72,-0.39,56.32,0.36,6.87
