,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-01,15.60,24.10,1014.40,-4.39,-9.11,69.71,0.19,-4.39
1981-01-02,22.20,28.90,1010.40,-1.72,-5.44,75.74,0.25,-1.72
1981-01-03,13.30,20.70,1016.50,-6.28,-10.39,72.77,0.17,-6.28
1981-01-04,4.00,11.80,1017.20,-11.22,-15.56,70.59,0.11,-11.22
1981-01-05,4.10,13.60,1023.60,-10.22,-15.50,65.54,0.11,-10.22
1981-01-06,11.10,17.90,1022.80,-7.83,-11.61,74.44,0.15,-7.83
1981-01-07,26.40,30.90,1005.90,-0.61,-3.11,83.18,0.30,-0.61
1981-01-08,3.60,13.60,1017.20,-10.22,-15.78,64.07,0.11,-10.22
1981-01-09,3.40,9.10,1024.40,-12.72,-15.89,77.39,0.11,-12.72
1981-01-10,8.30,17.00,1021.40,-8.33,-13.17,68.34,0.14,-8.33
1981-01-11,0.70,9.80,1023.20,-12.33,-17.39,66.30,0.10,-12.33
1981-01-12,-3.30,4.10,1024.40,-15.50,-19.61,71.09,0.08,-15.50
1981-01-13,-3.30,4.10,1020.00,-15.50,-19.61,71.09,0.08,-15.50
1981-01-14,11.60,17.50,1016.70,-8.06,-11.33,77.41,0.16,-8.06
1981-01-15,24.90,26.10,1016.00,-3.28,-3.94,95.15,0.28,-3.28
1981-01-16,25.10,27.10,1019.20,-2.72,-3.83,92.06,0.28,-2.72
1981-01-17,15.50,20.50,1015.10,-6.39,-9.17,80.74,0.19,-6.39
1981-01-18,7.30,14.20,1014.70,-9.89,-13.72,73.76,0.13,-9.89
1981-01-19,18.90,26.90,1012.00,-2.83,-7.28,71.51,0.22,-2.83
1981-01-20,23.60,35.20,1013.70,1.78,-4.67,62.28,0.27,1.78
1981-01-21,24.70,30.90,1017.60,-0.61,-4.06,77.52,0.28,-0.61
1981-01-22,20.60,26.50,1010.20,-3.06,-6.33,78.14,0.23,-3.06
1981-01-23,22.70,33.00,1006.40,0.56,-5.17,65.50,0.26,0.56
1981-01-24,22.50,32.70,1008.90,0.39,-5.28,65.74,0.25,0.39
1981-01-25,23.10,30.80,1016.50,-0.67,-4.94,72.80,0.26,-0.67
1981-01-26,28.80,35.20,1011.80,1.78,-1.78,77.23,0.33,1.78
1981-01-27,31.60,43.00,1005.50,6.11,-0.22,63.72,0.37,5.28
1981-01-28,25.10,35.60,1010.50,2.00,-3.83,65.25,0.28,2.00
1981-01-29,21.40,31.10,1014.50,-0.50,-5.89,66.96,0.24,-0.50
1981-01-30,9.90,21.00,1025.50,-6.11,-12.28,61.88,0.15,-6.11
1981-01-31,5.60,20.30,1028.40,-6.50,-14.67,52.59,0.12,-6.50
1981-02-01,14.40,21.70,1027.10,-5.72,-9.78,73.18,0.18,-5.72
1981-02-02,42.60,44.40,1006.80,6.89,5.89,93.30,0.57,6.48
1981-02-03,8.60,20.50,1016.60,-6.39,-13.00,59.65,0.14,-6.39
1981-02-04,3.80,12.10,1022.90,-11.06,-15.67,69.04,0.11,-11.06
1981-02-05,0.70,13.20,1027.20,-10.44,-17.39,57.09,0.10,-10.44
1981-02-06,10.20,18.40,1027.20,-7.56,-12.11,70.02,0.15,-7.56
