,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-01,69.30,87.60,9999.90,30.89,20.72,53.95,0.15,33.23
1981-01-02,71.90,88.80,9999.90,31.56,22.17,56.79,0.17,35.19
1981-01-03,76.20,86.60,9999.90,30.33,24.56,70.69,0.20,36.05
1981-01-04,72.60,86.30,9999.90,30.17,22.56,63.12,0.17,33.82
1981-01-05,69.50,89.20,9999.90,31.78,20.83,51.58,0.16,34.33
1981-01-06,74.00,90.70,9999.90,32.61,23.33,57.41,0.18,37.69
1981-01-07,79.50,88.90,9999.90,31.61,26.39,73.33,0.22,40.45
1981-01-08,77.90,87.50,9999.90,30.83,25.50,72.72,0.21,37.96
1981-01-09,71.30,86.10,9999.90,30.06,21.83,60.74,0.17,33.09
1981-01-10,73.70,86.70,9999.90,30.39,23.17,64.70,0.18,34.67
1981-01-11,71.60,85.00,9999.90,29.44,22.00,63.63,0.17,32.46
1981-01-12,67.00,84.30,9999.90,29.06,19.44,55.46,0.14,30.45
1981-01-13,60.30,87.70,9999.90,30.94,15.72,39.07,0.11,30.71
1981-01-14,72.90,88.50,9999.90,31.39,22.72,59.36,0.17,35.51
1981-01-15,73.40,88.70,9999.90,31.50,23.00,59.99,0.18,35.93
1981-01-16,71.10,88.40,9999.90,31.33,21.72,55.96,0.16,34.53
1981-01-17,73.10,84.60,9999.90,29.22,22.83,67.90,0.18,32.81
1981-01-18,75.40,83.80,9999.90,28.78,24.11,75.43,0.19,33.23
1981-01-19,74.70,83.20,9999.90,28.44,23.72,75.12,0.19,32.38
1981-01-20,72.90,83.70,9999.90,28.72,22.72,69.47,0.17,32.04
1981-01-21,75.70,85.70,9999.90,29.83,24.28,71.58,0.19,35.01
1981-01-22,76.50,84.40,9999.90,29.11,24.72,76.77,0.20,34.34
1981-01-23,76.70,85.20,9999.90,29.56,24.83,75.28,0.20,35.18
1981-01-24,74.90,85.30,9999.90,29.61,23.83,70.58,0.19,34.24
1981-01-25,71.90,86.50,9999.90,30.28,22.17,61.21,0.17,33.63
1981-01-26,71.10,86.10,9999.90,30.06,21.72,60.32,0.16,33.00
1981-01-27,74.70,83.20,9999.90,28.44,23.72,75.12,0.19,32.38
1981-01-28,73.40,82.70,9999.90,28.17,23.00,73.05,0.18,31.43
1981-01-29,73.70,83.40,9999.90,28.56,23.17,72.12,0.18,32.13
1981-01-30,73.70,83.20,9999.90,28.44,23.17,72.60,0.18,31.96
1981-01-31,71.60,83.00,9999.90,28.33,22.00,67.98,0.17,31.03
1981-02-01,71.30,82.70,9999.90,28.17,21.83,67.95,0.17,30.71
1981-02-02,72.90,86.10,9999.90,30.06,22.72,64.19,0.17,33.82
1981-02-03,74.90,86.40,9999.90,30.22,23.83,68.08,0.19,35.10
1981-02-04,75.50,80.10,9999.90,26.72,24.17,85.60,0.19,29.63
1981-02-05,75.70,81.80,9999.90,27.67,24.28,81.43,0.19,31.47
1981-02-06,76.10,83.30,9999.90,28.50,24.50,78.54,0.19,33.12
1981-02-07,76.50,85.10,9999.90,29.50,24.72,75.02,0.20,34.97
1981-02-08,75.50,86.50,9999.90,30.28,24.17,69.26,0.19,35.53
1981-02-09,76.50,85.40,9999.90,29.67,24.72,74.28,0.20,35.23
1981-02-10,76.50,85.40,9999.90,29.67,24.72,74.28,0.20,35.23
1981-02-11,73.10,84.70,9999.90,29.28,22.83,67.68,0.18,32.89
1981-02-12,67.50,84.10,9999.90,28.94,19.72,56.82,0.14,30.48
1981-02-13,63.10,81.60,9999.90,27.56,17.28,52.82,0.12,28.19
1981-02-14,67.00,80.80,9999.90,27.11,19.44,62.30,0.14,28.40
1981-02-15,70.80,80.10,9999.90,26.72,21.56,72.83,0.16,28.60
1981-02-16,73.10,81.90,9999.90,27.72,22.83,74.25,0.18,30.66
1981-02-17,70.60,82.20,9999.90,27.89,21.44,67.43,0.16,30.13
1981-02-18,71.90,83.00,9999.90,28.33,22.17,68.69,0.17,31.13
1981-02-19,75.50,83.60,9999.90,28.67,24.17,76.19,0.19,33.10
1981-02-20,76.50,83.70,9999.90,28.72,24.72,78.57,0.20,33.70
1981-02-21,76.00,83.90,9999.90,28.83,24.44,76.73,0.19,33.62
1981-02-22,75.20,82.90,9999.90,28.28,24.00,77.18,0.19,32.33
1981-02-23,76.50,84.90,9999.90,29.39,24.72,75.52,0.20,34.79
1981-02-24,74.90,82.80,9999.90,28.22,23.83,76.65,0.19,32.11
1981-02-25,77.80,82.00,9999.90,27.78,25.44,86.86,0.21,32.66
1981-02-26,76.00,83.70,9999.90,28.72,24.44,77.24,0.19,33.44
1981-02-27,77.00,85.00,9999.90,29.44,25.00,76.56,0.20,35.18
1981-02-28,79.10,84.80,9999.90,29.33,26.17,82.72,0.22,36.35
1981-03-01,75.90,83.70,9999.90,28.72,24.39,76.98,0.19,33.39
1981-03-02,75.20,84.10,9999.90,28.94,24.00,74.18,0.19,33.40
1981-03-03,73.80,83.00,9999.90,28.33,23.22,73.33,0.18,31.84
1981-03-04,74.50,83.20,9999.90,28.44,23.61,74.61,0.18,32.30
1981-03-05,74.10,82.40,9999.90,28.00,23.39,75.58,0.18,31.44
1981-03-06,67.10,78.00,9999.90,25.56,19.50,68.68,0.14,25.76
1981-03-07,59.00,71.40,9999.90,21.89,15.00,64.44,0.11,21.85
1981-03-08,67.30,78.90,9999.90,26.06,19.61,67.10,0.14,26.26
1981-03-09,69.80,81.70,9999.90,27.61,21.00,66.68,0.16,29.57
1981-03-10,69.40,79.30,9999.90,26.28,20.78,71.26,0.15,26.55
1981-03-11,69.10,80.20,9999.90,26.78,20.61,68.42,0.15,28.37
1981-03-12,71.60,81.40,9999.90,27.44,22.00,71.69,0.17,29.81
1981-03-13,70.20,83.30,9999.90,28.50,21.22,64.12,0.16,30.78
1981-03-14,70.50,86.60,9999.90,30.33,21.39,58.12,0.16,33.08
1981-03-15,73.00,86.50,9999.90,30.28,22.78,63.57,0.18,34.16
1981-03-16,70.20,89.10,9999.90,31.72,21.22,53.02,0.16,34.57
1981-03-17,72.00,84.50,9999.90,29.17,22.22,65.59,0.17,32.27
1981-03-18,72.50,87.80,9999.90,31.00,22.50,59.89,0.17,34.82
