,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-01,34.20,43.90,1015.80,6.61,1.22,68.34,0.00,5.86
1981-01-02,26.30,37.70,1018.80,3.17,-3.17,63.10,0.00,3.17
1981-01-03,22.80,36.50,1022.80,2.50,-5.11,57.20,0.00,2.50
1981-01-04,23.90,37.20,1025.20,2.89,-4.50,58.26,0.00,2.89
1981-01-05,23.70,38.50,1024.30,3.61,-4.61,54.88,0.00,3.61
1981-01-06,25.00,34.90,1024.10,1.61,-3.89,66.82,0.00,1.61
1981-01-07,26.60,37.80,1025.10,3.22,-3.00,63.64,0.00,3.22
1981-01-08,32.00,42.60,1022.80,5.89,0.00,65.77,0.00,5.07
1981-01-09,30.20,46.40,1018.30,8.00,-1.00,52.84,0.00,7.12
1981-01-10,27.70,38.80,1015.70,3.78,-2.39,64.02,0.00,3.78
1981-01-11,27.00,39.20,1019.60,4.00,-2.78,61.23,0.00,4.00
1981-01-12,25.90,41.90,1020.20,5.50,-3.39,52.66,0.00,4.49
1981-01-13,22.30,38.50,1022.60,3.61,-5.39,51.76,0.00,3.61
1981-01-14,27.00,37.60,1022.80,3.11,-2.78,65.21,0.00,3.11
1981-01-15,35.20,44.20,1017.60,6.78,1.78,70.31,0.00,6.06
1981-01-16,25.90,35.60,1024.10,2.00,-3.39,67.45,0.00,2.00
1981-01-17,28.40,39.90,1024.80,4.39,-2.00,63.10,0.00,4.39
1981-01-18,36.00,42.10,1022.30,5.61,2.22,78.71,0.00,4.95
1981-01-19,32.40,41.20,1022.70,5.11,0.22,70.57,0.00,4.32
1981-01-20,30.60,40.60,1022.80,4.78,-0.78,67.17,0.00,3.92
1981-01-21,28.00,36.30,1023.70,2.39,-2.22,71.54,0.00,2.39
1981-01-22,21.00,35.20,1028.70,1.78,-6.11,55.84,0.00,1.78
1981-01-23,30.70,45.10,1025.60,7.28,-0.72,56.67,0.00,6.41
1981-01-24,47.10,53.20,1019.70,11.78,8.39,79.52,0.01,11.43
1981-01-25,29.30,41.50,1025.80,5.28,-1.50,61.51,0.00,4.37
1981-01-26,22.50,37.40,1027.20,3.00,-5.28,54.51,0.00,3.00
1981-01-27,23.70,38.30,1027.90,3.50,-4.61,55.32,0.00,3.50
1981-01-28,27.90,41.20,1024.60,5.11,-2.28,58.77,0.00,4.16
1981-01-29,27.90,39.60,1024.30,4.22,-2.28,62.55,0.00,4.22
1981-01-30,29.50,42.80,1025.10,6.00,-1.39,58.97,0.00,5.10
1981-01-31,38.10,42.10,1020.50,5.61,3.39,85.53,0.00,5.04
1981-02-01,29.70,42.10,1020.40,5.61,-1.28,61.08,0.00,4.72
1981-02-02,25.90,43.00,1020.40,6.11,-3.39,50.47,0.00,5.10
1981-02-03,23.40,39.60,1019.80,4.22,-4.78,51.91,0.00,4.22
1981-02-04,21.40,37.20,1026.40,2.89,-5.89,52.45,0.00,2.89
1981-02-05,26.90,38.40,1027.30,3.56,-2.83,62.93,0.00,3.56
1981-02-06,30.60,44.10,1020.90,6.72,-0.78,58.65,0.00,5.85
1981-02-07,27.50,42.80,1019.70,6.00,-2.50,54.33,0.00,5.04
1981-02-08,31.80,45.50,1017.70,7.50,-0.11,58.35,0.00,6.66
1981-02-09,28.00,47.30,1017.50,8.50,-2.22,46.67,0.00,7.56
