,dew_point,mean_temp,slp,tempC,dewC,rh,specHum,hi
1981-01-01,38.50,46.00,1015.70,7.78,3.61,74.78,0.48,7.17
1981-01-02,32.30,39.70,1017.70,4.28,0.17,74.53,0.38,4.28
1981-01-03,28.90,39.00,1021.20,3.89,-1.72,66.72,0.33,3.89
1981-01-04,27.90,39.00,1024.10,3.89,-2.28,64.04,0.31,3.89
1981-01-05,28.20,40.50,1023.00,4.72,-2.11,61.14,0.32,3.78
1981-01-06,27.10,36.00,1023.00,2.22,-2.72,69.76,0.30,2.22
1981-01-07,25.90,39.20,1023.70,4.00,-3.39,58.51,0.29,4.00
1981-01-08,28.80,42.30,1021.90,5.72,-1.78,58.42,0.33,4.80
1981-01-09,35.80,43.70,1017.70,6.50,2.11,73.40,0.43,5.81
1981-01-10,35.40,40.50,1014.30,4.72,1.89,81.79,0.43,4.05
1981-01-11,30.20,37.60,1018.90,3.11,-1.00,74.34,0.35,3.11
1981-01-12,34.00,41.20,1019.60,5.11,1.11,75.26,0.40,4.38
1981-01-13,25.90,41.50,1021.30,5.28,-3.39,53.49,0.29,4.27
1981-01-14,27.90,38.10,1022.60,3.39,-2.28,66.35,0.31,3.39
1981-01-15,33.80,44.60,1017.80,7.00,1.00,65.46,0.40,6.23
1981-01-16,30.20,38.30,1022.80,3.50,-1.00,72.32,0.35,3.50
1981-01-17,28.20,38.10,1024.60,3.39,-2.11,67.17,0.32,3.39
1981-01-18,37.60,43.90,1021.60,6.61,3.11,78.22,0.47,5.99
1981-01-19,35.40,43.00,1021.50,6.11,1.89,74.22,0.43,5.41
1981-01-20,31.30,40.80,1022.50,4.89,-0.39,68.56,0.36,4.06
1981-01-21,31.10,39.20,1022.10,4.00,-0.50,72.40,0.36,4.00
1981-01-22,22.80,36.70,1027.30,2.61,-5.11,56.75,0.25,2.61
1981-01-23,35.80,45.50,1026.20,7.50,2.11,68.50,0.43,6.80
1981-01-24,50.70,53.40,1019.80,11.89,10.39,90.42,0.77,11.69
1981-01-25,36.30,45.10,1023.90,7.28,2.39,70.96,0.44,6.60
1981-01-26,26.60,39.90,1025.80,4.39,-3.00,58.60,0.30,4.39
1981-01-27,25.20,39.90,1026.60,4.39,-3.78,55.30,0.28,4.39
1981-01-28,26.40,44.40,1023.50,6.89,-3.11,48.82,0.30,5.90
1981-01-29,31.10,42.30,1023.00,5.72,-0.50,64.16,0.36,4.87
1981-01-30,27.50,43.90,1024.10,6.61,-2.50,52.07,0.31,5.65
1981-01-31,41.20,47.10,1019.20,8.39,5.11,79.70,0.54,7.88
1981-02-01,33.80,42.60,1019.10,5.89,1.00,70.71,0.40,5.13
1981-02-02,28.60,43.50,1019.50,6.39,-1.89,55.32,0.32,5.46
1981-02-03,28.80,41.90,1018.50,5.50,-1.78,59.34,0.33,4.58
1981-02-04,22.30,37.90,1025.00,3.28,-5.39,52.99,0.25,3.28
1981-02-05,27.40,38.90,1026.50,3.83,-2.56,62.99,0.31,3.83
1981-02-06,32.20,43.20,1019.80,6.22,0.11,64.78,0.38,5.41
1981-02-07,32.20,42.60,1018.70,5.89,0.11,66.30,0.38,5.08
1981-02-08,34.00,44.40,1017.60,6.89,1.11,66.50,0.40,6.13
1981-02-09,32.70,48.60,1016.80,9.22,0.39,53.78,0.38,8.41
1981-02-10,29.50,47.30,1018.10,8.50,-1.39,49.63,0.34,7.60
1981-02-11,27.50,42.80,1019.40,6.00,-2.50,54.33,0.31,5.04
1981-02-12,46.20,50.00,1014.60,10.00,7.89,86.60,0.65,9.66
1981-02-13,61.00,63.70,1010.80,17.61,16.11,90.78,1.14,17.70
1981-02-14,56.30,59.70,1015.00,15.39,13.50,88.35,0.95,15.34
1981-02-15,55.00,59.90,1017.80,15.50,12.78,83.62,0.91,15.39
1981-02-16,59.00,64.00,1010.90,17.78,15.00,83.55,1.06,17.79
1981-02-17,41.20,54.00,1015.00,12.22,5.11,61.53,0.54,11.66
1981-02-18,47.50,54.50,1017.60,12.50,8.61,76.95,0.68,12.16
1981-02-19,36.10,51.50,1016.50,10.83,2.28,55.26,0.44,10.12
1981-02-20,38.70,48.40,1016.50,9.11,3.72,68.80,0.49,8.49
1981-02-21,32.50,44.40,1019.20,6.89,0.28,62.61,0.38,6.08
1981-02-22,47.10,52.90,1016.30,11.61,8.39,80.42,0.68,11.27
1981-02-23,53.60,57.00,1009.80,13.89,12.00,88.24,0.87,13.76
1981-02-24,33.10,46.80,1017.10,8.22,0.61,58.52,0.39,7.43
1981-02-25,26.60,35.60,1020.10,2.00,-3.00,69.43,0.30,2.00
1981-02-26,21.20,28.40,1025.10,-2.00,-6.00,74.12,0.24,-2.00
1981-02-27,18.00,34.00,1028.70,1.11,-7.78,51.57,0.21,1.11
1981-02-28,34.00,45.30,1026.40,7.39,1.11,64.24,0.40,6.62
1981-03-01,45.10,47.30,1020.20,8.50,7.28,91.95,0.62,8.15
1981-03-02,44.10,50.90,1023.70,10.50,6.72,77.25,0.60,10.06
1981-03-03,47.30,49.50,1019.60,9.72,8.50,92.02,0.68,9.44
1981-03-04,40.30,50.20,1018.40,10.11,4.61,68.45,0.52,9.54
1981-03-05,25.20,45.30,1025.50,7.39,-3.78,44.87,0.28,6.37
1981-03-06,38.10,45.70,1025.90,7.61,3.39,74.46,0.47,6.99
1981-03-07,27.30,45.30,1025.20,7.39,-2.61,48.94,0.31,6.43
1981-03-08,41.40,54.30,1018.60,12.39,5.22,61.33,0.54,11.84
1981-03-09,35.40,48.70,1018.40,9.28,1.89,59.70,0.43,8.55
1981-03-10,28.20,45.10,1026.70,7.28,-2.11,51.18,0.32,6.34
1981-03-11,39.20,53.80,1027.70,12.11,4.00,57.33,0.49,11.49
1981-03-12,54.10,59.20,1021.60,15.11,12.28,82.97,0.87,14.98
1981-03-13,58.80,63.70,1016.30,17.61,14.89,83.84,1.04,17.61
1981-03-14,54.50,60.80,1013.60,16.00,12.50,79.47,0.89,15.87
1981-03-15,35.80,50.00,1016.00,10.00,2.11,57.76,0.44,9.28
1981-03-16,36.30,48.40,1015.90,9.11,2.39,62.58,0.44,8.41
1981-03-17,37.20,51.80,1017.00,11.00,2.89,57.08,0.46,10.32
1981-03-18,43.70,59.20,1015.70,15.11,6.50,56.03,0.59,14.63
1981-03-19,53.60,58.30,1009.20,14.61,12.00,84.15,0.87,14.47
1981-03-20,54.70,60.80,1011.30,16.00,12.61,80.06,0.90,15.87
1981-03-21,49.80,57.00,1004.50,13.89,9.89,76.57,0.76,13.61
1981-03-22,46.20,58.80,1015.80,14.89,7.89,62.57,0.65,14.48
1981-03-23,47.30,64.20,1019.30,17.89,8.50,53.73,0.68,17.51
1981-03-24,58.10,65.50,1011.90,18.61,14.50,76.67,1.02,18.57
1981-03-25,53.80,58.50,1009.00,14.72,12.11,84.16,0.87,14.58
1981-03-26,35.10,52.80,1014.00,11.56,1.72,50.59,0.42,10.82
1981-03-27,39.20,51.80,1019.00,11.00,4.00,61.75,0.50,10.38
1981-03-28,44.90,54.90,1019.00,12.72,7.17,68.66,0.62,12.28
1981-03-29,48.40,53.40,1017.50,11.89,9.11,82.93,0.71,11.59
1981-03-30,47.30,53.80,1018.20,12.11,8.50,78.37,0.68,11.77
